anterior,nombre,variacion,ultimo,fechahora
anterior,Descripción,variación,,[u'fecha/hora']
"37,900",Dolar Minorista," -0,53%","37,700",[u'25.10 - 16:56']
"9,936",Real x Pesos," +0,0%","9,937",[u'25.10 - 21:16']
"0,2622",Real x Dolar," +0,0%","0,2636",[u'25.10 - 21:16']
"42,184",Euro x Pesos," -0,8%","41,845",[u'25.10 - 21:16']
"1,1130",Euro x Dolar," -0,8%","1,1099",[u'25.10 - 21:16']
"0,729",Pesos x Peso Mex.,"  0,0%","0,729",[u'25.10 - 21:16']
"0,0192",Peso Mex. x Dolar,"  0,0%","0,0193",[u'25.10 - 21:16']
"0,054",Pesos x Peso Chile," -0,2%","0,054",[u'25.10 - 21:16']
"0,0014",Peso Chile x Dolar," -0,2%","0,0014",[u'25.10 - 21:16']
"0,326",Pesos x Yen," +0,5%","0,328",[u'25.10 - 21:16']
"0,0086",Yen x Dolar," +0,5%","0,0087",[u'25.10 - 21:16']
"47,723",Libras x Peso ," -1,0%","47,242",[u'25.10 - 21:16']
"1,2592",Libra x Dolar," -1,0%","1,2531",[u'25.10 - 21:16']
"2,861",PURU x Pesos,"  0,0%","2,861",[u'25.10 - 21:16']
"0,0755",PURU x Dolar,"  0,0%","0,0759",[u'25.10 - 21:16']
"37,900",Dolar Banco Nacion," -0,5%","37,700",[u'25.10 - 21:16']
